name,address,zip
Bibb Correctional Facility,565 Bibb Lane,35034
"Dorm, Bed number",P.O. Box 5107,36089
Donaldson Correctional Facility,100 Warrior Lane,35023
Draper Correctional Facility,P.O. Box 1107,36025
Easterling Correctional Facility,200 Wallace Drive,36017
Elmore Correctional Center,3520 Marion Spillway Road,36025
Fountain Correctional Facility,Fountain 3800,36503
Hamilton Aged & Infirmed,223 Sasser Drive,35570
Holman Correctional Facility,Holman 3700,36503
Kilby Correctional Facility,P.O. Box 150,36057
Limestone Correctional Facility,28779 Nick Davis Rd,35749
Montgomery Women's Facility,P.O. Box 75,36057
Red Eagle Work Center,1290 Red Eagle Road,36110
St. Clair Correctional Facility,1000 St. Clair Road,35146
Staton Correctional Facility,P.O. Box 56,36025
Tutwiler Prison for Women,8966 US Hwy 231 N,36092
Ventress Correctional Facility,P.O. Box 767,36016
Anchorage Correctional Complex,1400 East 4th Avenue,99501
Anvil Mountain Correctional Center,PO Box 730,99762
Fairbanks Correctional Center,1931 Egan Avenue,99701
Goose Creek Correctional Center,P.O. 877790,99687
Hiland Mountain Correctional Center,9101 Hesterberg Road,99577
Ketchikan Correctional Center,1201 Schoenbar Rd,99901
Lemon Creek Correctional Center,2000 Lemon Creek Road,99801
Mat-Su Pretrial,339 East Dogwood Road,99645
Palmer Correctional Center,P.O. Box 919,99645
Point Mackenzie Correctional Farm,P.O. Box 877730,99687
Spring Creek Correctional Center,3600 Bette Cato Avenue,99664
Wildwood Correctional Center,10 Chugach Avenue,99611
Wildwood Correctional Center,10 Chugach Avenue,99611
Yukon Kuskokwim Correctional Center,PO Box 400,99559
ASPC - Douglas,P.O. Box 3867,85608
Inmate Name and ADC #,P.O. Box 3400,85132
"Inmate Name, ID Number",P.O. Box 8200,85132
"Inmate Name, ID Number",P.O. Box 5000,85132
"Inmate Name, ID Number",PO Box 3009,86402
"Inmate Name, ID Number",PO Box 3009,86402
Inmate Name and ADC#,P.O. Box 3500,85326
Inmate Name and ADC#,P.O. Box 3000,85395
Inmate Name and ADC#,P.O. Box 52109,85072
Inmate Name and ADC#,896 S. Cook Road,85546
Inmate Name and ADC#,P.O. Box 24409,85734
Apache Unit,PO Box 3240,85936
Complex Lock-Up,2100 S. Hwy 87,86047
Inmate Name and ADC#,P.O. Box 8939,85349
"Inmate's Name, ID Number",P.O. Box 9200,85132
Arizona State Prison - Phoenix West,P.O. Box 18640,85005
Red Rock Correctional Center,1750 East Arica Road,85131
Benton Unit,6701 Highway 67,72015
Boot Camp Program,P.O. Box 240,72168
Cummins Unit,P.O. Box 500,71644
Delta Regional Unit,880 East Gaines,71638
East Arkansas Regional Unit,P.O. Box 180,72320
Grimes Unit,300 Corrections Drive,72112
"J. Aaron Hawkins, Sr., Center for Women",P.O. Box 1000,72183
Maximum Security Unit,2501 State Farm Rd.,72168
McPherson Unit,302 Corrections Drive,72112
Mississippi County Work Release Center,P.O. Box 10,72358
North Central Unit,10 Prison Circle,72519
Northwest Arkansas Work Release Center,200 East Price Avenue,72764
Ouachita River Correctional Unit,P.O. Box 1630,72104
Pine Bluff Unit,890 Free Line Dr.,71603
Randall L. Williams Correctional Facility,7206 West 7th Street,71603
Texarkana Regional Correction Center,305 East 5th Street,71854
Tucker Unit,P.O. Box 240,72168
Varner Unit,P.O. Box 600,71644
Wrightsville Unit,P.O. Box 1000,72183
"A Facility, MSF Facility",P.O. Box 2500,96127
Housing Unit 1,PO Box 107,93581
Housing Unit 2,PO Box 608,93581
CIM I,P.O. Box 600,91708
CIM I,P.O. Box 600,91708
California Institution for Women,PO Box 8100,92878
California Medical Facility,P.O. Box 2000,95696
California Men's Colony EAST,P.O. Box 8101,93409
California Men's Colony EAST,P.O. Box 8101,93409
California Rehabilitation Center,P.O. Box 3535,92860
California Rehabilitation Center,P.O. Box 3535,92860
(Inmate's Housing Unit),P.O. Box 4430,93539
California State Prison-Sacramento,P.O. Box 290066,95671
"California State Prison, Solano",P. O. Box 4000,95696
Facility A & B,P.O. Box 5248,93212
Facility A & B,P.O. Box 5248,93212
Facility A,PO Box 5004,92233
Facility B,PO Box 5005,92233
Facility A,P.O. Box 901,92251
Facility B,P.O. Box 911,92251
Chuckawalla Valley State Prison,P.O. Box 2349,92226
Correctional Training Facility - South (Facility D),PO Box 690,93960
Correctional Training Facility - Central (Facility C),PO Box 689,93960
Deuel Vocational Institution,P.O. Box 600,95378
Folsom State Prison,P.O. Box 715071,95671
"High Desert State Prison, California",P.O. Box 3030,96127
Ironwood State Prison,P.O. Box 2199,92226
Facility A,P.O. Box 5101,93216
Facility A,P.O. Box 5101,93216
A Yard,PO Box 409020,95640
B Yard,PO Box 409040,95640
A Yard,PO Box 5000,93215
B Yard,PO Box 4999,93216
Pelican Bay State Prison,P.O. Box 7500,95532
Pleasant Valley State Prison,P.O. Box 8500,93210
Facility A,P.O. Box 799001,92179
Facility B,P.O. Box 799002,92179
Salinas Valley State Prison,PO Box 1050,93960
"Inmate Name, ID",San Quentin State Prison,94974
Sierra Conservation Center,5100 O'Byrnes Ferry Road,95327
Valley State Prison,PO Box 92,93610
A Facility,PO Box 4400,93280
B Facility,PO Box 5500,93280
Arrowhead Correctional Center,PO Box 300,81215
Arkansas Valley Correctional Facility,12750 Highway 96,81034
Delta Correctional Center,11363 Lockhart Road,81416
Denver Reception & Diagnostic Center,P.O. Box 392004,80239
Four Mile Correctional Center,PO Box 300,81215
Rifle Correctional Center,200 County Road 219,81650
Skyline Correctional Center,PO Box 300,81215
Trinidad Correctional Facility,21000 Highway 350 East,81059
Youthful Offender System,1300 West 13th Street,81003
Bent County Correctional Facility,11560 Road FF75,81054
Cheyenne Mountain Re-entry Center,2925 E. Las Vegas Street,80906
Crowley County Correctional Facility,6564 State Highway 96,81062
Kit Carson Correctional Center,P.O. Box 2000,80807
Bridgeport Correctional Center,1106 North Avenue,6604
Brooklyn Correctional Institution,59 Hartford Road,6234
Cheshire Correctional Institution,900 Highland Avenue,6410
Corrigan-Radgowski Correctional Center,986 Norwich-New London Turnpike,6382
Enfield Correctional Institution,PO Box 1500,6082
Garner Correctional Institution,PO Box 5500,6470
Hartford Correctional Center,177 Weston Street,6120
MacDougall-Walker Correctional Institution,"1153 East Street, South",6080
Manson Youth Institution,42 Jarvis Street,6410
New Haven Correctional Center,PO Box 8000,6511
Northern Correctional Institution,PO Box 665,6071
Osborn Correctional Institution,PO Box 100,6071
Robinson Correctional Institution,PO Box 1400,6082
Willard-Cybulski Correctional Institution,391 Shaker Road,6082
York Correctional Institution,201 West Main Street,6357
Baylor Women's Correctional Institution,660 Baylor Boulevard,19720
Central Violation of Probation Center,P.O. Box 5003,19977
Hazel D. Plant Women's Treatment Facility,620 Baylor Blvd,19720
Howard R. Young Correctional Institution,P.O. Box 9279,19809
James T. Vaughn Correctional Center,1181 Paddock Road,19977
Morris Community Corrections Center,300 Water Street,19904
Plummer Community Corrections Center,38 Todds Lane,19805
Sussex Boot Camp,P.O. Box 500,19947
Sussex Community Corrections Center,23207 Dupont Blvd.,19947
Building & Tier of housing,PO Box 500,19947
Webb Community Correctional Facility,200 Greenbank Road,19808
Central Detention Facility,1901 D Street SE,20003
Central Detention Facility,1901 D Street SE,20003
Central Detention Facility,1901 D Street SE,20003
Central Detention Facility,1901 D Street SE,20003
Central Detention Facility,1901 D Street SE,20003
Central Detention Facility,1901 D Street SE,20003
"Apalachee Correctional Institution, East Unit",35 Apalachee Drive,32460
"Apalachee Correctional Institution, West Unit",52 West Unit Drive,32460
Avon Park Correctional Institution,P.O. Box 1100,33826
Baker Correctional Institution,20706 U.S. Highway 90 West,32087
Bay Correctional Facility,5400 Bayline Drive,32404
Blackwater River Correctional Facility,5914 Jeff Ates Road,32583
Calhoun Correctional Institution,19562 SE Institution Dr.,32424
Central Florida Reception Center,7000 H C Kelley Rd.,32831
"Central Florida Reception Center, East Unit",7000 H C Kelley Rd.,32831
"Central Florida Reception Center, South Unit",7000 H C Kelley Rd.,32831
Century Correctional Institution,400 Tedder Road,32535
Charlotte Correctional Institution,33123 Oil Well Road,33955
Columbia Correctional Institution,216 S.E. Corrections Way,32025
Cross City Correctional Institution,568 N.E. 255th Street,32628
Dade Correctional Institution,19000 S.W. 377th Street,33034
Desoto Annex,13617 S.E. Highway 70,34266
Everglades Correctional Institution,1599 S.W. 187th Avenue,33194
Florida State Prison,7819 N.W. 228th Street,32026
Franklin Correctional Institution,1760 Highway 67 North,32322
Gadsden Correctional Facility,6044 Greensboro Highway,32351
Graceville Correctional Facility,5168 Ezell Rd.,32440
Gulf Correctional Institution,500 Ike Steele Road,32465
Hamilton Correctional Institution,10650 S.W. 46th Street,32052
Hardee Correctional Institution,6901 State Road 62,33834
Hernando Correctional Institution,16415 Spring Hill Drive,34604
Holmes Correctional Institution,3142 Thomas Drive,32425
Homestead Correctional Institution,19000 S.W. 377th Street,33034
Jackson Correctional Institution,5563 10th Street,32445
Jefferson Correctional Institution,1050 Big Joe Road,32344
Lake City Correctional Facility,7906 East Highway 90,32055
Lake Correctional Institution,19225 U.S. Highway 27,34715
Lancaster Correctional Institution,3449 S.W. State Road 26,32693
Lawtey Correctional Institution,7819 N.W. 228th Street,32026
Liberty Correctional Institution,11064 N.W. Dempsey Barron Road,32321
Lowell Correctional Institution,11120 NW Gainesville Rd.,34482
Madison Correctional Institution,382 Southwest MCI Way,32340
Marion Correctional Institution,P.O. Box 158,32663
Martin Correctional Institution,1150 S.W. Allapattah Road,34956
Mayo Correctional Institution and Annex,8784 US Highway 27 West,32066
Moore Haven Correctional Facility,Post Office Box 69,33471
Northwest Florida Reception Center,4455 Sam Mitchell Drive,32428
Okaloosa Correctional Institution,3189 Colonel Greg Malloy Road,32539
Okeechobee Correctional Institution,3420 N.E. 168th Street,34972
Polk Correctional Institution,10800 Evans Road,33868
Putnam Correctional Institution,128 Yelvington Road,32131
Quincy Annex,2225 Pat Thomas Parkway,32351
Reception and Medical Center,P.O. Box 628,32054
Santa Rosa Correctional Institution and Annex,5850 East Milton Road,32583
South Bay Correctional Facility,600 U.S. Highway 27 South,33493
South Florida Reception Center,14000 NW 41st Street,33178
South Unit,13910 NW 41st Street,33178
Sumter Correctional Institution,9544 County Road 476B,33513
Suwannee Correctional Institution,5964 U.S. Highway 90,32060
Taylor Correctional Institution,8501 Hampton Springs Road,32348
Tomoka Correctional Institution,3950 Tiger Bay Road,32124
Union Correctional Institution,7819 N.W. 228th Street,32026
Wakulla Correctional Institution,110 Melaleuca Drive,32327
Walton Correctional Institution,691 Institution Road,32433
Zephyrhills Correctional Institution,2739 Gall Boulevard,33541
Arrendale State Prison,P.O. Box 709,30510
Augusta State Medical Prison,3001 Gordon Highway,30813
Autry State Prison,P.O. Box 648,31779
Baldwin State Prison,P.O. Box 218,31034
Bulloch County Correctional Institution,17301 U.S. Highway 301 North Building 209,30458
Burruss Correctional Training Center,P.O. Box 5849,31029
Calhoun State Prison,P.O. Box 249,39866
Carroll County Correctional Institution,96 Horsley Mill Road,30117
Central State Prison,4600 Fulton Mill Road,31208
Clarke County Correctional Institution,2825 County Farm Road,30605
Clayton County Correctional Institution,P.O. Box 309,30250
Coastal State Prison,P.O. Box 7150,31418
Coffee Correctional Facility,P.O. Box 650,31554
Colquitt County Correctional Institution,"P.O. Box 339, Route 2",31768
Coweta County Correctional Institution,101 Selt Road,30263
Decatur County Correctional Institution,1153 Airport Road,39817
Dodge State Prison,P.O. Box 276,31012
Dooly State Prison,P.O. Box 750,31091
Effingham County Correctional Institution,P.O. Box 235,31329
Emanuel Womens Facility,P.O. Box 218,30401
Floyd County Correctional Institution,"329 Black Bluff Road, SW",30161
Georgia Diagnostic and Classification Prison,P.O. Box 3877,30233
Georgia State Prison,300 1st Ave South,30453
Gwinnett County Correctional Institution,750 High Hope Road,30043
Hall County Correctional Institution,1694 Barber Road,30507
Hancock State Prison,P.O. Box 339,31087
Harris County Correctional Institution,9982 Highway 116,31811
Hays State Prison,P.O. Box 668,30753
Jackson County Correctional Institution,265 I.W. Davis Road,30549
Jefferson County Correctional Institution,1159 Clarks Mill Road,30434
Johnson State Prison,P.O. Box 344,31096
Lee State Prison,153 Pinewood Drive,31763
Long State Prison,P.O. Box 70,31316
Macon State Prison,P.O. Box 426,31068
Mitchell County Correctional Institution,"Route 4, P.O. Box 228C",31730
Montgomery State Prison,P.O. Box 256,30445
Muscogee County Correctional Institution,P.O. Box 84041,31908
Philips State Prison,2989 West Rock Quarry Road,30519
Pulaski State Prison,P.O. Box 839,31036
Richmond County Correctional Institution,2314 Tobacco Road,30906
Rogers State Prison,1978 Georgia Highway 147,30453
Rutledge State Prison,P.O. Box 8409,31908
Screven County Correctional Institution,P.O. Box 377,30467
Smith State Prison,P.O. Box 726,30427
Spalding County Correctional Institution,295 Justice Boulevard,30224
Telfair State Prison,P.O. Box 549,31037
Terrell County Correctional Institution,3108 Albany Highway,39842
Thomas County Correctional Institution,324 County Farm Road,31757
Troup County Correctional Institution,2508 Hamilton Road,30240
Valdosta State Prison,P.O. Box 310,31603
Valdosta State Prison,P.O. Box 310,31603
Walker State Prison,P.O. Box 98,30739
Ware State Prison,3620 Harris Road,31501
Washington State Prison,P.O. Box 206,31018
Washington State Prison,P.O. Box 206,31018
Wheeler Correctional Facility,P.O. Box 466,30411
Wilcox State Prison,P.O. Box 397,31001
c/o Halawa Correctional Facility,99-902 Moanalua Road,96701
Saguaro Correctional Center,1252 E. Arica Road,85131
Waiawa Correctional Facility,P.O. Box 1839,96782
Women's Community Correctional Center,42-477 Kalanianaole Highway,96734
Correctional Alternative Placement Program (CAPP),15505 S. Pleasant Valley Rd.,83634
Idaho State Correctional Center (ISCC),PO Box 70010,83707
Idaho Correctional InstitutionOrofino (ICIO),"Hospital Drive N., #23",83544
Idaho Maximum Security Institution,PO Box 51,83707
Idaho State Correctional Institution,PO Box 14,83707
North Idaho Correctional Institution,"HC3, Box 147",83522
South Boise Women's Correctional Center,13200 S. Pleasant Valley Rd.,83634
South Idaho Correctional Institution,PO Box 8509,83707
Pocatello Women's Correctional Center,1451 Fore Road,83204
St. Anthony Work Camp,125 N. 8th West,83445
Big Muddy River Correctional Center,251 N. Illinois Highway 37,62846
Centralia Correctional Center,P.O. Box 7711,62801
Crossroads ATC,3210 West Arthington,60624
Danville Correctional Center,3820 East Main Street,61834
Decatur Correctional Center,P.O. Box 3066,62524
Dixon Correctional Center,2600 N. Brinton Avenue,61021
East Moline Correctional Center,100 Hillcrest Road,61244
Fox Valley Adult Transition Center,1329 North Lake Street,60506
Graham Correctional Center,P.O. Box 499,62049
Hill Correctional Center,P.O. Box 1700,61402
Illinois River Correctional Center,P.O. Box 999,61520
Jacksonville Correctional Center,2268 East Morton Avenue,62650
Lawrence Correctional Center,10930 Lawrence Road,62466
Lincoln Correctional Center,P.O. Box 549,62656
Logan Correctional Center,P.O. Box 1000,62656
Menard Correctional Center,P.O. Box 1000,62259
North Lawndale Adult Transition Center,2839 West Fillmore,60612
Peoria Adult Transition Center,607-613 North Main,61602
Pinckneyville Correctional Center,P.O. Box 999,62274
Pontiac Correctional Center,P.O. Box 99,61764
Robinson Correctional Center,13423 East 1150th Avenue,62454
Shawnee Correctional Center,6665 State Route 146 East,62995
Sheridan Correctional Center,4017 E. 2603 Road,60551
Southwestern Illinois Correctional Center,P.O. Box 129,62203
Stateville Correctional Center,P.O. Box 112,60434
Taylorville Correctional Center,P.O. Box 1000,62568
Vandalia Correctional Center,P.O. Box 500,62471
Vienna Correctional Center,6695 State Route #146 East,62995
Western Illinois Correctional Center,2500 Rt. 99 South,62353
Branchville Correctional Facility,21390 Old State Road 37,47514
Chain O Lakes Correctional Facility,3516 E 75 South,46701
Correctional Industrial Facility,P.O. Box 600,46064
Edinburgh Correctional Facility,P.O. Box 470,46124
Henryville Correctional Facility,P.O. Box 148,47126
Heritage Trail Correctional Facility,501 W. Main Street,46168
Indiana State Prison,P.O. Box 41,46361
Indiana Women's Prison,2596 Girls School Road,46214
Indianapolis Re-Entry Educational Facility,401 North Randolph Street,46201
Madison Correctional Facility,800 MSH Bus Stop Drive,47250
Miami Correctional Facility,3038 West 850 South,46914
New Castle Correctional Facility,P.O. Box E,47362
Pendleton Correctional Facility,P.O. Box 30,46064
Plainfield Correctional Facility,727 Moon Road,46168
Putnamville Correctional Facility,1946 West U.S. Hwy 40,46135
Reception Diagnostic Center,737 Moon Road,46168
Rockville Correctional Facility,811 W. 50 N,47872
Wabash Valley Correctional Facility,P.O. Box 500,47838
Westville Correctional Facility,5501 S.1100 W.,46391
Anamosa State Penitentiary,PO Box 10,52205
Clarinda Correctional Facility,P.O. Box 1338,51632
Fort Dodge Correctional Facility,1550 L Street,50501
Iowa Correctional Institution for Women,420 Mill Street SW,50169
Iowa Medical and Classification Center,2700 Coral Ridge Ave,52241
Iowa State Penitentiary,P.O. Box 316,52627
Mount Pleasant Correctional Facility,1200 East Washington,52641
Newton Correctional Facility,P. O. Box 218,50208
North Central Correctional Facility,313 Lanedale,50579
El Dorado Correctional Facility,P.O. Box 311,67042
Ellsworth Correctional Facility,P.O. Box 107,67439
Hutchinson Correctional Facility,P.O. Box 1568,67504
Lansing Correctional Facility,P.O. Box 2,66043
Larned Correctional Mental Health Facility,1318 KS Highway 264,67550
Norton Correctional Facility,P.O. Box 546,67654
NCF-East Unit,P.O. Box 527,67669
Topeka Correctional Facility,815 S.E. Rice Road,66607
Winfield Correctional Facility,1806 Pinecrest Circle,67156
Wichita Work Release,401 S. Emporia St.,67202
Blackburn Correctional Complex,3111 Spurr Road,40511
Eastern Kentucky Correctional Complex,200 Road to Justice,41472
Green River Correctional Complex,P. O. Box 9300,42330
Kentucky State Penitentiary,266 Water Street,42038
Kentucky State Reformatory,3001 W Hwy 146,40032
Little Sandy Correctional Complex,Route 5 Box 1000,41171
Luther Luckett Correctional Complex,P. O. Box 6,40031
Roederer Correctional Complex,P.O. Box 69,40031
Western Kentucky Correctional Complex,374 New Bethel Church Road,42411
Allen Correctional Center,3751 Lauderdale Woodyard Road,70648
Avoyelles Correctional Center,1630 Prison Road,71327
David Wade Correctional Center,670 Bell Hill Road,71040
Dixon Correctional Institute,Post Office Box 788,70748
Elayn Hunt Correctional Center,P.O. Box 174,70776
Louisiana Correctional Institute for Women,Post Office Box 26,70776
Louisiana State Penitentiary,General Delivery,70712
B.B. Rayburn Correctional Center,27268 Hwy. 21 North,70426
Winn Correctional Center,P.O. Box 1260,71483
Bolduc Correctional Facility,516 Cushing Road,4864
Charleston Correctional Facility,1202 Dover Road,4422
Downeast Correctional Facility,64 Base Road,4655
Maine Correctional Center,17 Mallison Falls Road,4062
Maine State Prison,807 Cushing Road,4864
Southern Maine Re-entry Center,2 Layman Way,4002
Maine Correctional Center,17 Mallison Falls Road,4062
Baltimore City Correctional Center,901 Greenmount Avenue,21202
Brockbridge Correctional Facility,7930 Brock Bridge Road,20794
Baltimore Central Booking and Intake Center,300 E. Madison Street,21202
Baltimore City Detention Center,401 E. Eager Street,21202
Baltimore Pre-Release Unit,531 East Madison Street,21202
Central Maryland Correctional Facility,7301 Buttercup Road,21784
Chesapeake Detention Facility,401 East Madison Street,21202
Patuxent Institution,P.O. Box 700,20794
Eastern Correctional Institution,30420 Revells Neck Road,21890
Eastern Correctional Institution Annex,30430 Revells Neck Road,21890
Eastern Correctional Institution,30420 Revells Neck Road,21890
Eastern Correctional Institution Annex,30430 Revells Neck Road,21890
Eastern Pre-Release Unit,700 Flat Iron Square Road,21623
Jessup Correctional Institution,Post Office Box 534,20794
Maryland Correctional Institution - Hagerstown,18601 Roxbury Road,21746
Maryland Correctional Institution Jessup,Post Office Box 549,20794
Maryland Correctional Institution for Women,7943 Brockbridge Road,20794
Maryland Correctional Training Center,18800 Roxbury Road,21746
"Maryland Reception, Diagnostic and Classification Center",550 East Madison Street,21202
Metropolitan Transition Center,954 Forrest Street,21202
North Branch Correctional Institution,"14100 McMullen Highway, S.W.",21502
Poplar Hill Pre-Release Unit,24090 Nanticoke Road,21856
Roxbury Correctional Institution,18701 Roxbury Road,21746
Southern Maryland Pre-Release Unit,14320 Oaks Road,20622
Western Correctional Institution,"13800 McMullen Highway, S.W.",21502
Bay State Correctional Center,P.O. Box 73,2056
Boston Pre-Release,430 Canterbury St.,2131
Bridgewater State Hospital,20 Administration Road,2324
Lemuel Shattuck Hospital Correctional Unit,180 Morton Street,2130
Massachusetts Alcohol and Substance Abuse Center,2 Administration Road,2324
Massachusetts Treatment Center,30 Administration Road,2324
MCI Cedar Junction,P.O. Box 100,2071
MCI Concord,PO Box 9106,1742
MCI Framingham,PO Box 9007,1701
MCI Norfolk,PO Box 43,2056
MCI Plymouth,PO Box 207,2366
MCI Shirley,PO Box 1218,1464
NCCI/Gardner,PO Box 466,1440
Northeastern Correctional Center,PO Box 1069,1742
Old Colony Correctional Center,1 Administration Road,2324
Pondville Correctional Center,PO Box 146,2056
South Middlesex Correctional Center,PO Box 850,1701
Souza-Baranowski Correctional Center,PO Box 8000,1464
Alger Correctional Facility,P.O. Box 600,49862
Baraga Correctional Facility,13924 Wadaga Road,49908
Bellamy Creek Correctional Facility,1727 West Bluewater Highway,48846
Boyer Road Correctional Facility,10274 Boyer Road,48811
Boyer Road Correctional Facility,10274 Boyer Road,48811
Central Michigan Correctional Facility,320 N. Hubbard,48880
Charles Egeler Reception & Guidance Center,3855 Cooper St.,49201
Chippewa Correctional Facility,4269 W. M-80,49784
Cooper Street Correctional Facility,3100 Cooper St.,49201
Detroit Detention Center,17601 Mound Road,48212
Detroit Reentry Center,17600 Ryan Road,48212
Earnest C. Brooks Correctional Facility,2500 S. Sheridan Drive,49444
G. Robert Cotton Correctional Facility,3500 N. Elm Road,49201
Gus Harrison Correctional Facility,2727 East Beecher St.,49221
Ionia Correctional Facility,1576 W. Bluewater Highway,48846
Kinross Correctional Facility,16770 S. Watertower Drive,49788
Lakeland Correctional Facility,141 First St.,49036
Macomb Correctional Facility,34625 26 Mile Rd.,48048
Marquette Branch Prison,1960 U.S. Hwy. 41 South,49855
Michigan Reformatory,1342 W. Main,48846
Muskegon Correctional Facility,2400 S. Sheridan Drive,49442
Newberry Correctional Facility,13747 E. County Road 428,49868
Oaks Correctional Facility,1500 Caberfae Highway,49660
Ojibway Correctional Facility,N 5705 Ojibway Road,49947
Parnall Correctional Facility,1780 E. Parnall,49201
Pugsley Correctional Facility,7401 East Walton Road,49649
Richard A. Handlon Correctional Facility,1728 Bluewater Highway,48846
Saginaw Correctional Facility,9625 Pierce Rd.,48623
Special Alternative Incarceration Facility,18901 Waterloo Rd.,48118
St. Louis Correctional Facility,8585 N. Croswell Road,48880
Thumb Correctional Facility,3225 John Conley Drive,48446
West Shoreline Correctional Facility,2500 S. Sheridan Drive,49444
Women's Huron Valley Correctional Facility,3201 Bemis Road,48197
Woodland Center Correctional Facility,9036 E. M-36,48189
Red Wing Correctional Facility,1079 Highway 292,55066
Rush City Correctional Facility,7600 - 525th St.,55069
Shakopee Correctional Facility,1010 West Sixth Avenue,55379
St. Cloud Correctional Facility,2305 Minnesota Boulevard S.E.,56304
Stillwater Correctional Facility,970 Pickett Street,55003
Togo Correctional Facility,62741 Co Rd. 551,55723
Willow River/Moose Lake Correctional Facility,1000 Lake Shore Drive,55767
Bolivar County Correctional Facility,2792 Hwy 8 West,38732
Carroll-Montgomery CountyRegional Correctional Facility,33714 MS Highway 35,39176
Chickasaw County Regional Correctional Facility,120 Lancaster Circle,38851
East Mississippi Correctional Facility,10641 Highway 80 East,39307
George-Greene County Regional Correctional Facility,154 Industrial Park Rd.,39452
Holmes-Humphreys County Regional Correctional Facility,23234 Hwy. 12 East,39095
Issaquena County Correctional Facility,Post Office Box 220,39113
Jefferson-Franklin County Correctional,P.O. Box 218,39069
