name,address,zip
Kemper Neshoba County Regional Correctional Facility,374 Stennis Industrial Park Road,39328
Leake County Correctional Facility,399 C. O. Brooks Street,39051
Marion Walthall County Regional Correctional Facility,503 South Main Street,39429
Marshall County Correctional Facility,Post Office Box 5188,38634
Mississippi State Penitentiary,Post Office Box 1057,38738
South Mississippi Correctional Institution,Post Office Box 1419,39451
Stone County Correctional Facility,1420 Industrial Park Road,39577
Walnut Grove Youth Correctional Facility,Post Office Box 389,39189
Washington County Regional Correctional Facility,60 Stokes King Rd,38701
Wilkinson County Correctional Center,Post Office Box 1889,39669
Winston Choctaw County Regional Correctional Facility,P.O Drawer 1437,39339
Yazoo County Correctional Facility,154 Roosevelt Hudson Drive,39194
Algoa Correctional Center,8501 No More Victims Road,65101
Boonville Correctional Center,1216 East Morgan Street,65233
Chillicothe Correctional Center,3151 Litton Road,64601
Crossroads Correctional Center,1115 East Pence Road,64429
"Eastern Reception, Diagnostic and Correctional Center",2727 Highway K,63628
Farmington Correctional Center,1012 West Columbia Street,63640
Fulton Reception and Diagnostic Center,"P.O. Box 190, State Route O",65251
Jefferson City Correctional Center,8200 No More Victims Road,65101
Maryville Treatment Center,30227 US Highway 136,64468
Missouri Eastern Correctional Center,18701 US Highway 66,63069
Moberly Correctional Center,P.O. Box 7,65270
Northeast Correctional Center,13698 Airport Road,63334
Ozark Correctional Center,929 Honor Camp Lane,65652
Potosi Correctional Center,11593 State Highway O,63660
South Central Correctional Center,255 West Highway 32,65542
Southeast Correctional Center,300 East Pedro Simmons Drive,63834
Tipton Correctional Center,619 North Osage Avenue,65081
Western Missouri Correctional Center,609 East Pence Road,64429
"Western Reception, Diagnostic and Correctional Center",3401 Faraon,64506
"Women's Eastern Reception, Diagnostic and Correctional Center",1101 East Highway 54,63382
Alpha House Men's Pre-release Center,3109 1st Avenue North,59101
Alpha House Men's Pre-release Center,3109 1st Avenue North,59101
Cascade County Regional Prison,3800 Ulm North Frontage Road,59404
Crossroads Correctional Center,50 Crossroads Drive,59474
Dawson County Correctional Facility,440 Colorado Blvd,59330
Montana State Prison,400 Conley Lake Road,59722
Montana Women's Prison,701 S. 27th St.,59101
Pine Hills Youth Correctional Facility,4 North Haynes Ave.,59301
Riverside Youth Correctional Facility,P.O. BOX 88,59632
Community Corrections Center Lincoln,P.O. Box 2200,68542
Community Corrections Center Omaha,2320 Avenue J,68110
Diagnostic and Evaluation Center,PO Box 22800,68542
Lincoln Correctional Center,P.O. Box 22800,68522
Nebraska Correctional Center for Women,1107 Recharge Rd,68467
Nebraska Correctional Youth Facility,2610 N 20th St East,68110
Nebraska State Penitentiary,P.O. Box 2500,68542
Omaha Correctional Center,P.O. Box 11099,68110
Tecumseh State Correctional Institution,PO Box 900,68450
Work Ethic Camp,2309 N. Hwy 83,69001
Ely State Prison,P.O. Box 1989,89301
Florence McClure Women's Correctional Center,4370 Smiley Road,89115
High Desert State Prison,P.O. Box 650,89070
Lovelock Correctional Center,1200 Prison Rd.,89419
Northern Nevada Correctional Center,P.O. Box 7000,89702
Southern Desert Correctional Center,P.O. Box 208,89070
Warm Springs Correctional Center,P.O. Box 7007,89702
State Prison for Men,P.O.Box 14,3302
New Hampshire State Prison for Women,317 Mast Road,3045
Northern New Hampshire Correctional Facility,138 East Milan Road,3570
Adult Diagnostic and Treatment Center,PO Box 190,7001
Atlantic County Justice Facility,5060 Atlantic Ave.,8330
East Jersey State Prison,Lock Bag R,7065
Otero County Prison Facility,10 McGregor Range Road,88081
Western New Mexico Correctional Facility,P.O. Drawer 250,87020
Albemarle Correctional Institution,P.O. Box 460,28009
Alexander Correctional Institution,633 Old Landfill Road,28681
Avery Mitchell Correctional Institution,600 Amity Park Road,28777
Bertie Correctional Institution,P.O. Box 129,27983
Brown Creek Correctional Institution,P.O. Box 310,28135
Caldwell Correctional Center,480 Pleasant Hill Road,28645
Caledonia Correctional Institution,Box 137,27887
Carteret Correctional Center,P.O. Box 220,28570
Caswell Correctional Center,Box 217,27379
Catawba Correctional Center,1347 Prison Camp Road,28658
Central Prison,1300 Western Blvd.,27606
Columbus Correctional Institution,1255 Prison Camp Road,28472
Craggy Correctional Center,Box 8909,28814
Craven Correctional Institution,P.O. Box 839,28586
Dan River Prison Work Farm,981 Murray Road,27212
Davidson Correctional Center,P.O. Box 1977,27293
Eastern Correctional Institution,Box 215,28554
Foothills Correctional Institution,5150 Western Avenue,28655
Forsyth Correctional Center,307 Craft Drive,27105
Franklin Correctional Center,Box 155,27508
Gaston Correctional Center,520 Justice Court,28034
Greene Correctional Institution,P.O. Box 39,28554
Harnett Correctional Institution,Box 1569,27546
Hoke Correctional Institution,243 Old Hwy 211,28376
Hyde Correctional Institution,P.O. Box 278,27885
Johnston Correctional Institution,2465 US 70 West,27577
Lanesboro Correctional Institution,PO Box 280,28135
Lumberton Correctional Institution,P.O. Box 1649,28359
Marion Correctional Institution,Box 2405,28752
Maury Correctional Institution,P.O. Box 506,28554
Morrison Correctional Institution,Box 169,28347
Mountain View Correctional Institution,545 Amity Park Road,28777
Nash Correctional Institution,PO Box 600,27856
Neuse Correctional Institution,P.O. Box 2087,27533
New Hanover Correctional Center,Box 240,28402
North Carolina Correctional Institution for Women,4287 Mail Service Center,27699
Odom Correctional Institution,Post Office Box 36,27845
Orange Correctional Center,PO Box 1149,27278
Pamlico Correctional Institution,601 North Third Street,28515
Pasquotank Correctional Institution,527 Commerce Drive,27906
Pender Correctional Institution,Box 1058,28425
Piedmont Correctional Institution,1245 Camp Road,28147
Polk Correctional Institution,Box 2500,27509
Randolph Correctional Center,Box 4128,27204
Rutherford Correctional Center,Box 127,28160
Sampson Correctional Institution,Box 1109,28328
Sanford Correctional Center,Box 2490,27330
Scotland Correctional Institution,PO Box 1808,28353
Southern Correctional Institution,272 Glen Road,27371
Swannanoa Correctional Center for Women,P.O. Box 609,28711
Tabor Correctional Institution,P.O. Box 730,28463
Tyrrell Prison Work Farm,P.O. Box 840,27925
Wake Correctional Center,1000 Rock Quarry Road,27610
Warren Correctional Institution,Box 728,27563
Wilkes Correctional Center,404 Statesville Road,28659
Dakota Women's Correctional and Rehabilitation Center,440 McKenzie Street,58647
James River Correctional Center,2521 Circle Drive,58401
Missouri River Correctional Center,P.O. Box 5521,58506
North Dakota State Penitentiary,PO Box 5521,58506
North Dakota Youth Correctional Center,701 16th Ave SW,58554
Allen Oakwood Correctional Institution,P.O. Box 4501,45801
Belmont Correctional Institution,P.O. Box 540,43950
Chillicothe Correctional Institution,P. O. Box 5500,45601
Correctional Reception Center,P.O. Box 300,43146
Dayton Correctional Institution,P.O. Box 17399,45417
Franklin Medical Center,P.O. Box 23658,43223
Grafton Correctional Institution,2500 South Avon Belden Road,44044
Lake Erie Correctional Institution,P.O. Box 8000,44030
Lebanon Correctional Institution,P.O. Box 56,45036
London Correctional Institution,P.O. Box 69,43140
Lorain Correctional Institution,2075 South Avon-Belden Road,44044
Madison Correctional Institution,P.O. Box 740,43140
Mansfield Correctional Institution,P.O. Box 788,44901
Marion Correctional Institution,P.O. Box 57,43302
Noble Correctional Institution,15708 McConnelsville Road,43724
North Central Correctional Complex,P.O. Box 1812,43302
Northeast Reintegration Center,2675 East 30th Street,44115
Ohio Reformatory for Women,1479 Collins Avenue,43040
Ohio State Penitentiary,878 Coitsville-Hubbard Road,44505
Pickaway Correctional Institution,P.O. Box 209,43146
Richland Correctional Institution,P.O. Box 8107,44905
Ross Correctional Institution,P.O. Box 7010,45601
Lancaster Unit,5900 B.I.S. Road,43130
Southern Ohio Correctional Facility,P.O. Box 45699,45699
Toledo Correctional Institution,P.O. Box 80033,43608
Trumbull Correctional Institution,P.O. Box 901,44430
TCI Camp,P.O. Box 640,44430
Warren Correctional Institution,P.O. Box 120,45036
"Inmate Name, ID Number (housing if known)",1856 E. Flynn Street,73717
Cimarron Correctional Facility,3200 SouthKings Highway,74023
Clara Waters Community Corrections Center,9901 N I-35 Service Road,73131
Davis Correctional Facility,6888 East 133rd Road,74848
Dick Conner Correctional Center,P.O. Box 220,74035
Dr. Eddie Warrior Correctional Center,P.O. Box 315,74463
Enid Community Corrections Center,2020 E. Maine Avenue,73701
Howard McLeod Correctional Center,1970 E. Whippoorwill Lane,74525
Jackie Brannon Correctional Center,P.O. Box 1999,74502
James Crabtree Correctional Center,216 North Murray Street,73741
Jess Dunn Correctional Center,P.O. Box 316,74463
Jim E. Hamilton Correctional Center,53468 Mineral Springs Road,74939
John H. Lilley Correctional Center,"Rt. 1, Box 407971",74829
Joseph Harp Correctional Center,P.O. Box 548,73051
Kate Barnard Community Corrections Center,3300 Martin Luther King Avenue,73111
Lawton Correctional Facility,8607 SE Flower Mound Road,73501
Lexington Assessment & Reception Center,P.O. Box 260,73051
Mabel Bassett Correctional Center,29501 Kickapoo Road,74851
Mack Alford Correctional Center,P.O. Box 220,74569
North Fork Correctional Facility,1605 East Main,73662
Northeast Oklahoma Correctional Center,442586 E. 250 Road,74301
Oklahoma City Community Corrections Center,315 West I-44 Service Road,73118
Oklahoma State Penitentiary,P.O. Box 97,74502
Oklahoma State Reformatory,P.O. Box 514,73547
Union City Community Corrections Center,P.O. Box 129,73090
William Key Correctional Center,P.O. Box 61,73841
Coffee Creek Correctional Facility,"24499 SW Grahams Ferry Road, Suite U",97070
Columbia River Correctional Institution,9111 NE Sunderland Avenue,97211
Deer Ridge Correctional Institution,3920 East Ashwood Road,97741
Eastern Oregon Correctional Institution,2500 Westgate,97801
Mill Creek Correctional Facility,2605 State Street,97310
Oregon State Correctional Institution,3405 Deer Park Drive SE,97310
Oregon State Penitentiary,2605 State Street,97310
Powder River Correctional Facility,3600 13th Street,97814
Santiam Correctional Institution,4005 Aumsville Hwy SE,97317
Shutter Creek Correctional Institution,95200 Shutters Landing Lane,97459
Snake River Correctional Institution,777 Stanton Blvd,97914
South Fork Forest Camp,48300 Wilson River Hwy,97141
Two Rivers Correctional Institution,82911 Beach Access Rd,97882
Warner Creek Correctional Facility,P.O. Box 1500,97630
SCI Albion,10745 Route 18,16475
Benner Township State Correctional Institution,301 Institution Drive,16823
Cambridge Springs State Correctional Institution,451 Fullerton Avenue,16043
Camp Hill State Correctional Institution,P.O. Box 200,17001
SCIChester,500 E. Fourth Street,19013
SCI Coal Township,1 Kelley Drive,17866
Dallas State Correctional Institution,"Follies Road, Drawer K",18612
SCIFayette,P.O. Box 9999,15450
SCIForest,P.O. Box 945,16239
SCI Frackville,1111 Altamont Boulevard,17931
SCIGraterford,P.O. Box 244,19426
SCIGreene,175 Progress Drive,15370
SCIHoutzdale,P.O. Box 1000,16698
SCIHuntington,1100 Pike Street,16654
SCILaurel Highlands,P.O. Box 631,15501
Mahanoy State Correctional Institution,301 Morea Road,17932
SCI Mercer,801 Butler Pike,16137
SCI Muncy,P.O. Box 180,17756
SCIPine Grove,191 Fyock Road,15701
SCIPittsburgh,P.O. Box 99991,15233
Quehanna Motivational Boot Camp,4510 Quehanna Highway,16845
SCIRetreat,660 State Route 11,18621
SCI Rockview,Box A,16823
SCISmithfield,P.O. Box 999,16652
SCI Somerset,1600 Walters Mill Road,15510
SCIWaymart,P.O. Box 256,18472
John J. Moran Medium Security Facility,P.O. Box 8274,2920
Maximum Security,P.O. Box 8273,2920
Minimum Security,P.O. Box 8212,2920
Allendale Correctional Institution,P.O. Box 1151,29827
Broad River Correctional Institution,4460 Broad River Road,29210
Catawba Pre-Release Center,1030 Milling Road,29730
Evans Correctional Institution,P.O. Box 2951202,29512
Goodman Correctional Institution,4556 Broad River Road,29210
Graham (Camille Griffin) Correctional Institution,4450 Broad River Road,29210
Kershaw Correctional Institution,4848 Gold Mine Highway,29067
Kirkland Reception and Evaluation Center,4344 Broad River Road,29210
Leath Correctional Institution,2809 Airport Road,29649
Lee Correctional Institution,990 Wisacky Highway,29010
Lieber Correctional Institution,P.O. Box 205,29472
Livesay Correctional Institution,P.O. Box 580,29378
Lower Savannah Pre-Release Center,361 Wire Road,29801
MacDougall Correctional Institution,1516 Old Gilliard Road,29472
Manning Correctional Institution,502 Beckman Road,29203
McCormick Correctional Institution,386 Redemption Way,29899
Palmer Pre-Release Center,2012 Pisgah Road,29501
Perry Correctional Institution,430 Oaklawn Road,29669
RidgelandCorrectional Institution,P.O. Box 2039,29936
Trenton Correctional Institution,84 Greenhouse Road,29847
Turbeville Correctional Institution,P.O. Box 252,29162
Tyger River Correctional Institution,200 Prison Road,29335
Walden Correctional Institution,4340 Broad River Road,29210
Wateree River Correctional Institution,P.O. Box 189,29128
Aurora Plains Academy,1400 East 10th Street,57368
Jameson Annex,P.O. Box 5911,57117
Mike Durfee State Prison,1412 Wood Street,57062
Patrick Henry Brady Academy,12279 Brady Drive,57730
QUEST,25298 Badger Clark Road,57730
Rapid City Minimum Unit,2725 Creek Drive,57703
South Dakota State Penitentiary,P.O. Box 5911,57117
South Dakota Women's Prison,c/o 500 E. Capital Ave.,57501
STAR Academy,12279 Brady Drive,57730
Yankton Minimum Unit,178 Mickelson Drive,57078
Youth Challenge Center,12279 Brady Drive,57730
Bledsoe County Correctional Complex,1045 Horsehead Road,37367
Hardeman County Correctional Facility,P.O. Box 549,38075
Lois M. DeBerry Special Needs Facility,7575 Cockrill Bend Boulevard,37209
Mark H. Luttrell Correctional Center,6000 State Road,38134
Morgan County Correctional Complex,P.O. Box 2000,37887
Northeast Correctional Complex and Annex,P.O. Box 5000,37683
Northwest Correctional Complex,960 State Route 212,38079
Riverbend Maximum Security Institution,7475 Cockrill Bend Boulevard,37209
South Central Correctional Facility,P.O. Box 279,38425
Tennessee Prison for Women,3881 Stewarts Lane,37218
Turney Center Industrial Main Site,1499 R.W. Moore Memorial Highway,37140
Turney Center Industrial Annex,P.O. Box 182,38425
West Tennessee State Penitentiary,P.O. Box 1150,38041
Whiteville Correctional Facility,P.O. Box 679,38075
Allred Unit,2101 FM 369 North,76367
Bartlett State Jail,1018 Arnold Drive,76511
Beto Unit,1391 FM 3328,75880
Boyd Unit,200 Spur 113,75860
James Bradshaw State Jail,P.O. Box 9000,75653
Bridgeport Correctional Center,4000 North Tenth Street,76426
Briscoe Unit,1459 West Highway 85,78017
Byrd Unit,21 FM 247,77320
Clemens Unit,11034 Hwy 36,77422
Clements Unit,9601 Spur 591,79107
Cleveland Correctional Center,P.O. Box 1678,77328
Coffield Unit,2661 FM 2054,75884
Cole Unit,3801 Silo Road,75418
Connally Unit,899 FM 632,78119
Cotulla Unit,610 FM 624,78014
Crain Unit,1401 State School Road,76599
Dalhart Unit,11950 FM 998,79022
Daniel Unit,938 South FM 1673,79549
Darrington Unit,59 Darrington Road,77583
Diboll Correctional Center,1604 South First Street,75941
Dominguez State Jail,6535 Cagnon Road,78252
Duncan Unit,1502 South First Street,75941
East Texas Treatment Facility,900 Industrial Drive,75652
Eastham Unit,2665 Prison Road #1,75851
Ellis Unit,1697 FM 980,77343
Estelle Unit,264 FM 3478,77320
Estes Unit,1100 Hwy 1807,76084
Ferguson Unit,12120 Savage Drive,75852
Formby State Jail,998 County Road AA,79072
Fort Stockton Transfer Facility,1536 IH-10 East,79735
Garza East,4304 Highway 202,78102
Garza West Transfer Facility,4250 Highway 202,78102
Larry Gist State Jail,3295 FM 3514,77705
Glossbrenner Unit,5100 South FM 1329,78384
Goodman Transfer Facility,349 Private Road 8430,75951
Goree Unit,7405 Hwy 75 South,77344
Gurney Transfer Facility,1385 FM 3328,75803
Halbert Unit,800 Ellen Halbert Drive,78611
Hamilton Unit,200 Lee Morrison Lane,77807
Havins Unit,500 FM 45 East,76801
Henley State Jail,7581 Hwy 321,77535
Hightower Unit,902 FM 686,77535
Hilltop Unit,1500 State School Road,76598
Hobby Unit,742 FM 712,76661
Hodge Unit,P.O. Box 999,75785
Holliday Transfer Facility,295 IH-45 North,77320
Hospital Galveston,"P.O. Box 48,Substation #1",77555
Hughes Unit,Route 2 Box 4400,76597
Huntsville Unit,815 12th Street,77348
Hutchins State Jail,1500 East Langdon Road,75241
Jester I Unit,1 Jester Road,77406
Jester I Unit,1 Jester Road,77406
Jester I Unit,1 Jester Road,77406
Jester I Unit,1 Jester Road,77406
Jester I Unit,1 Jester Road,77406
Jester I Unit,1 Jester Road,77406
Johnston Unit,703 Airport Road,75494
Jordan Unit,1992 Helton Road,79065
Jordan Unit,1992 Helton Road,79065
Kegans State Jail,707 Top Street,77002
Kyle Correctional Center,23001 Interstate 35,78640
LeBlanc Unit,3695 FM 3514,77705
Lewis Unit,777 FM 3497,75990
Lindsey State Jail,1620 FM 3344,76458
Lockhart Correctional Facility,1400 Industrial Boulevard,78644
Lopez State Jail,1203 El Cibolo Road,78542
Luther Unit,1800 Luther Drive,77868
Lychner State Jail,2350 Atascocita Road,77396
Lynaugh Unit,1098 South Highway 2037,79735
Marlin Transfer Facility,2893 State Hwy 6,76661
McConnell Unit,3001 South Emily Drive,78102
Michael Unit,2664 Farm to Market Road 2054,75886
Middleton Transfer Facility,13055 Farm to Market Road 3522,79601
Montford Unit,8602 Peach Street,79404
Billy Moore Correctional Center,8500 North FM 3053,75684
Choice Moore Transfer Facility,1700 North FM 87,75418
Mountain View Unit,2305 Ransom Road,76528
Murray Unit,1916 North Highway 36 Bypass,76596
Neal Unit,9055 Spur 591,79107
Joe Ney State Jail,114 Private Road 4303,78861
Wallace Pack Unit,2400 Wallace Pack Road,77868
Lucile Plane State Jail,904 FM 686,77535
Polunsky Unit,3872 FM 350 South,77351
Powledge Unit,1400 FM 3452,75803
Ramsey Unit,1100 FM 655,77583
Roach Unit,15845 FM 164,79201
Robertson Unit,12071 FM 3522,79601
Rudd Transfer Facility,2004 Lamesa Highway,79316
Sanchez State Jail,3901 State Jail Road,79938
San Saba Transfer Facility,206 South Wallace Creek Road,76877
Sayle Unit,4176 FM 1800,76424
Scott Unit,6999 Retrieve,77515
Segovia Unit,1201 E. El Cibolo Road,78542
Skyview Unit,379 FM 2972 West,75785
Smith Unit,1313 County Road 19,79331
Stevenson Unit,1525 FM 766,77954
Stiles Unit,3060 FM 3514,77705
Stringfellow Unit,1200 FM 655,77583
Telford Unit,3899 Highway 98,75570
Terrell Unit,1300 FM 655,77583
Torres Unit,125 Private Road 4303,78861
Travis County State Jail,8101 FM 969,78724
Tulia Transfer Facility,4000 Highway 86 West,79088
Vance Unit,2 Jester Road,77406
Wallace Unit,1675 South FM 3525,79512
Ware Transfer Facility,1681 South FM 3525,79512
Wheeler State Jail,986 County Road AA,79072
Willacy County State Jail,1695 South Buffalo Drive,78580
Woodman State Jail,1210 Coryell City Road,76528
Young Medical Facility,5509 Attwater Ave.,77539
Utah State Prison,P.O. Box 250,84020
CUCF,P.O. Box 550,84634
Chittenden Regional Correctional Facility,7 Farrell Street,5403
Marble Valley Regional Correctional Facility,167 State Street,5701
Northern State Correctional Facility,2559 Glen Road,5855
Northeast Correctional Complex,1266-1270 US Route 5,5819
Northwest State Correctional Facility,3649 Lower Newton Road,5488
Southeast State Correctional Facility,546 State Farm Road,5089
Southern State Correctional Facility,700 Charlestown Road,5156
Augusta Correctional Center,1821 Estaline Valley Road,24430
Baskerville Correctional Center,4150 Hayes Mill Road,23915
Bland Correctional Center,256 Bland Farm Road,24315
Brunswick Work Center,P.O. Box 207C,23868
Buckingham Correctional Center,P.O. Box 430,23936
Caroline Correctional Unit #2,31285 Camp Road,23069
Central Virginia Correctional Unit,6900 Courthouse Road,23832
Coffeewood Correctional Center,P. O. Box 500,22729
Cold Springs Correctional Unit,221 Spitler Circle,24440
Deep Meadow Correctional Center,3500 Woods Way,23160
Deerfield Correctional Center,21360 Deerfield Drive,23829
Dillwyn Correctional Center,P.O. Box 670,23936
Fluvanna Correctional Center for Women,144 Prison Lane,22974
Green Rock Correctional Center,475 Green Rock Lane,24531
Greensville Correctional Center,901 Corrections Way,23870
Halifax Correctional Unit,Box 1789,24558
Haynesville Correctional Center,P.O. Box 129,22472
Haynesville Correctional Unit,P.O. Box 39,22472
Indian Creek Correctional Center,P.O. Box 16481,23328
James River Work Center,1954 State Farm Road,23160
Keen Mountain Correctional Center,P.O. Box 860,24631
Lawrenceville Correctional Center,1607 Planters Road,23868
Lunenburg Correctional Center,P.O. Box 1424,23974
Marion Treatment Center,110 Wright Street,24354
Medical College of Virginia,401 N. 12th Street,23298
Nottoway Correctional Center,P.O. Box 488,23922
Patrick Henry Correctional Unit,P.O. Box 1090,24148
Pocahontas State Correctional Center,P.O. Box 518,24635
Powhatan Reception Center,3600 Woods Way,23160
Red Onion State Prison,P.O. Box 970,24279
River North Correctional Center,329 Dell Brook Lane,24348
Rustburg Correctional Unit,479 Camp Nine Road,24588
St. Brides Correctional Center,P.O. Box 16482,23328
Sussex I State Prison,24414 Musselwhite Drive,23891
Sussex II State Prison,24427 Musselwhite Drive,23891
Virginia Correctional Center for Women,P.O. Box 1,23063
Wallens Ridge State Prison,P.O. Box 759,24219
Wise Correctional Unit,P.O. Box 1198,24230
Airway Heights Corrections Center,P.O. Box 1899,99001
Cedar Creek Corrections Center,P.O. Box 37,98556
Clallam Bay Corrections Center,1830 Eagle Crest Way,98326
Coyote Ridge Corrections Center,P.O. Box 769,99326
Larch Corrections Center,15314 NE Dole Valley Road,98675
Mission Creek Corrections Center for Women,3420 NE Sand Hill Road,98528
Monroe Correctional Complex,P.O. Box 777,98272
Olympic Corrections Center,11235 Hoh Mainline,98331
Stafford Creek Corrections Center,191 Constantine Way,98520
Washington Corrections Center,P.O. Box 900,98584
Washington Corrections Center for Women,9601 Bujacich Rd. NW,98332
Washington State Penitentiary,1313 North 13th Avenue,99362
Anthony Correctional Center,Box N-1,24986
Beckley Correctional Center,111 S. Eisenhower Drive,25801
Charleston Correctional Center,1356 Hansford St.,25301
Denmar Correctional Center,4319 Denmar Road,24946
Huttonsville Correctional Center,P.O. Box 1,26273
Lakin Correctional Center,11264 Ohio River Road,25287
Northern Correctional Facility,112 Northern Regional Correctional Drive,26041
Ohio County Correctional Center,1501 Eoff Street,26003
Parkersburg Correctional Center,225 Holiday Hills Drive,26104
Pruntytown Correctional Center,P.O. Box 159,26354
Salem Correctional Center,7 Industrial Blvd.,26426
Chippewa Valley Correctional Treatment Facility,2909 E. Park Ave.,54729
2925 Columbia Drive,P.O. Box 900,53901
Dodge Correctional Institution,P.O. Box 700,53963
"Inmate Name, DOC Number (Housing Unit)",P.O. Box 200,53933
Green Bay Correctional Institution,P.O. Box 19033,54307
Kettle Moraine Correctional Institution,P.O. Box 282,53073
Milwaukee Secure Detention Facility,P.O. Box 05911,53205
New Lisbon Correctional Institution,P.O. Box 4000,53950
Oakhill Correctional Institution,P.O. Box 140,53575
Oshkosh Correctional Institution,P.O. Box 3310,54903
"Inmate Name, DOC Number",P.O. Box 9900,53821
"Inmate name, DOC Number, Housing Unit",P.O. Box 900,53177
(Housing Unit),P.O. Box 2500 ,53404
Redgranite Correctional Institution,P.O. Box 925,54970
"Inmate's Name, DOC Number",100 Corrections Drive,54768
"Inmate's name, DOC Number, Housing Unit",P.O. Box 903,53177
Taycheedah Correctional Institution,P.O. Box 3100,54936
Waupun Correctional Institution,P.O. Box 351,53963
Wisconsin Secure Program Facility,P.O. Box 9900,53805
Anna M. Kross Center,18-18 Hazen Street,11370
Bellevue Hospital Prison Ward,462 1st Avenue,10016
Brooklyn Detention Complex,275 Atlantic Avenue,11201
Eric M. Taylor Center,10-10 Hazen Street,11370
Elmhurst Hospital Prison Ward,79-01 Broadway,11370
George Motchan Detention Center,15-15 Hazen Street,11370
George R. Vierno Center,09-09 Hazen Street,11370
Manhattan Detention Complex,125 White Street,10013
North Infirmary Command,15-00 Hazen Street,11370
Otis Bantum Correctional Center,16-00 Hazen Street,11370
Queens Detention Complex,126-01 82nd Street,11415
Robert N. Davoren Complex,11-11 Hazen Street,11370
Rose M. Singer Center,19-19 Hazen Street,11370
Vernon C. Bain Center,1 Halleck Street,10474
West Facility,16-06 Hazen Street,11370
Queensboro Correctional Facility,47-04 Van Dam Street,11101
Chittenden Regional Correctional Facility,7 Farrell Street,05403
Chittenden Regional Correctional Facility,7 Farrell Street,05403
Chittenden Regional Correctional Facility,7 Farrell Street,05403
